epoch,batch_size,value
4,4,3.0388964688562154
4,8,1.1877296550917829
4,12,2.8780699805971652
4,16,1.1274835437635844
4,32,0.9804641080203211
4,64,1.3005334319515842
4,128,1.5023023425416873
4,256,2.603415094770627
6,4,1.8150978137421065
6,8,0.7704463114918891
6,12,1.6296788934295652
6,16,2.3460187142393703
6,32,2.1818891939948615
6,64,1.0927776279279358
6,128,1.0208431177310362
6,256,1.1794931897891925
10,4,2.202905624212336
10,8,1.3654863700184614
10,12,1.7734671323242814
10,16,1.1832314497306073
10,32,1.3617307277833797
10,64,1.133450420369324
10,128,1.1628328605925338
10,256,1.1672279236317944
14,4,1.541819195790703
14,8,0.9719319303199192
14,12,1.0639637142282374
14,16,1.018786779130427
14,32,0.7418272021937318
14,64,0.9360464844096316
14,128,1.1961415416246644
14,256,1.2253948145143092
20,4,2.53325340634673
20,8,1.134937467744837
20,12,0.8862742874981069
20,16,1.0193156300400024
20,32,1.2855005453780206
20,64,0.7205728762523559
20,128,0.7784576928323201
20,256,0.9908911860768966
40,4,2.610505093110931
40,8,1.6928639662697118
40,12,1.34484191888901
40,16,0.6986604205829061
40,32,0.7333133771585348
40,64,0.6259454573080298
40,128,0.764223188993998
40,256,1.272209882988234
