epoch,batch_size,hours,value
4,4,5,1.4627396394873309
4,8,5,0.8022194114675852
4,12,5,0.6745687771293043
4,16,5,0.6617967665457416
4,32,5,0.6767206953076291
4,64,5,0.7089161157658792
4,128,5,0.7669657685765479
4,256,5,0.7162841827998564
6,4,5,1.7075536910557971
6,8,5,1.3534636495095298
6,12,5,0.6769261202504728
6,16,5,0.6626731229413589
6,32,5,0.6473012932264914
6,64,5,0.6307325322294485
6,128,5,0.6926318382370207
6,256,5,0.7394673420155141
10,4,5,2.2213650945299013
10,8,5,1.272191139201977
10,12,5,0.855421823256096
10,16,5,0.6417323528571406
10,32,5,0.7469411552854561
10,64,5,0.6643362979721776
10,128,5,0.7271396223680098
10,256,5,0.6917774899514972
14,4,5,2.2988809661692144
14,8,5,1.1108316533088671
14,12,5,0.9861587459384823
14,16,5,0.6313815955908804
14,32,5,0.8180955351855886
14,64,5,0.6323506006120369
14,128,5,0.6666109108586507
14,256,5,0.6788891300157301
20,4,5,1.5100126539299406
20,8,5,1.1050095127031458
20,12,5,1.0759803400104935
20,16,5,0.727886904042761
20,32,5,0.7074254591443827
20,64,5,0.6453424775465522
20,128,5,0.6400528389392696
20,256,5,0.6341937347842437
40,4,5,1.575346155878326
40,8,5,1.0747391376460895
40,12,5,1.051711540041446
40,16,5,0.7537756783407451
40,32,5,1.0202589522107015
40,64,5,0.6190521585781102
40,128,5,0.6692444949098911
40,256,5,0.6364439056222523
