iteracion,valor,gen
1,5.541716319858423,5 - 13 * 6 / 12 / 30 / 26
2,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
3,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
4,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
5,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
6,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
7,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
8,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
9,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
10,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
11,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
12,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
13,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
14,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
15,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
16,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
17,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
18,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
19,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
20,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
21,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
22,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
23,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
24,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
25,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
26,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
27,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
28,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
29,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
30,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
31,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
32,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
33,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
34,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
35,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
36,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
37,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
38,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
39,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
40,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
41,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
42,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
43,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
44,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
45,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
46,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
47,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
48,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
49,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
50,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
51,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
52,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
53,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
54,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
55,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
56,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
57,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
58,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
59,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
60,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
61,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
62,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
63,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
64,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
65,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
66,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
67,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
68,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
69,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
70,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
71,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
72,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
73,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
74,4.478534922025437,33 + 19 / 34 * 0 + 9 - 7 - 4
75,13.151625683186191,15 / 23 + 18 + 6 / 19
76,13.151625683186191,15 / 23 + 18 + 6 / 19
77,13.151625683186191,15 / 23 + 18 + 6 / 19
78,13.151625683186191,15 / 23 + 18 + 6 / 19
79,13.151625683186191,15 / 23 + 18 + 6 / 19
80,13.151625683186191,15 / 23 + 18 + 6 / 19
81,13.151625683186191,15 / 23 + 18 + 6 / 19
82,13.151625683186191,15 / 23 + 18 + 6 / 19
83,13.151625683186191,15 / 23 + 18 + 6 / 19
84,3.26955893030287,33 + 0 + 9 - 7 - 4
85,3.26955893030287,33 + 0 + 9 - 7 - 4
86,3.26955893030287,33 + 0 + 9 - 7 - 4
87,2.310184713893085,22 * 4 / 7 * 2 / 4
88,2.310184713893085,22 * 4 / 7 * 2 / 4
89,2.310184713893085,22 * 4 / 7 * 2 / 4
90,2.310184713893085,22 * 4 / 7 * 2 / 4
91,2.310184713893085,22 * 4 / 7 * 2 / 4
92,2.310184713893085,22 * 4 / 7 * 2 / 4
93,2.310184713893085,22 * 4 / 7 * 2 / 4
94,2.310184713893085,22 * 4 / 7 * 2 / 4
95,2.310184713893085,22 * 4 / 7 * 2 / 4
96,2.310184713893085,22 * 4 / 7 * 2 / 4
97,2.310184713893085,22 * 4 / 7 * 2 / 4
98,2.310184713893085,22 * 4 / 7 * 2 / 4
99,2.310184713893085,22 * 4 / 7 * 2 / 4
100,2.310184713893085,22 * 4 / 7 * 2 / 4
101,2.310184713893085,22 * 4 / 7 * 2 / 4
102,2.310184713893085,22 * 4 / 7 * 2 / 4
103,2.310184713893085,22 * 4 / 7 * 2 / 4
104,2.310184713893085,22 * 4 / 7 * 2 / 4
105,2.310184713893085,22 * 4 / 7 * 2 / 4
