iteracion,valor,gen
401,2.4034843462374953,p16 + p4 / p19 / p9 
402,10.831996876794427,p5 - p26 / p20 
403,15.131871912192496,c2.56877328273596 / p5 / c4.491557578785424 * p30 / p30 / p12 * p15 * p8 - c4.696822235727476 / p22 - p10 / p32 / c4.502076198468538 + p21 
404,10.947178926111796,p15 / c2.287154400440235 / c4.018645383975062 + p20 
405,23.712384953843628,p16 / p31 / p15 + p20 - c1.162926221785015 * c2.3513529881061643 
406,1.4523767136449195,p26 * p32 / p25 
407,2.0299667374660166,p28 - c2.2537509264422315 / p22 + c2.035445371107204 / p8 
408,3.2361698433234403,p2 - c0.452613855861142 / p11 + p12 / c3.692146611113417 / p2 / p3 
409,1.9996386609392034,p15 / p16 * p21 
410,3.3766169661089203,p11 - p17 + p2 
411,1.8234578374472572,p15 / p16 * p30 
412,2.0321892846349408,p13 - p13 + p20 
413,1.8234578374472572,p15 / p16 * p30 
414,4.599094518732047,p1 / p24 + p30 / p32 * p25 
415,3.290861606720382,p15 / p16 * p7 
416,3.655316426741924,p1 / p24 + p25 
417,4.851627427249239,p26 - c1.7412996125334317 / c3.60106420547115 
418,4.009262604016065,p7 + p15 + c0.35977820727611354 / c3.660191474585739 / c4.623448924362345 / p28 * p32 * p2 / c1.7850518960591861 + c0.5040909751085021 - c0.3408738632822883 - p21 
419,4.4829308393223775,p28 - p12 / p23 / p18 
420,2.475045349883825,p29 - c4.7908547338683505 / c4.819785363599621 / p29 / p20 / p23 - p34 + p33 
421,2.486705127448369,p29 - c4.7908547338683505 / c4.819785363599621 / p29 / p23 - p34 + p33 
422,2.053925755655539,p1 / p6 * p27 
423,2.7633511284575705,p4 / p9 - c2.6573816949237443 * p16 / p26 + p6 + c1.6853829929150184 
424,3.010850662099641,p16 - c0.251514008402699 / c0.8836038067175978 * c0.709110145993655 
425,4.497006988038232,p32 / p31 / p16 + p12 - c1.1297716745711046 * c1.319020770912938 / p6 / p10 - p7 / p9 
