max_depth,eta,valor
1,0.3,3.158151198309098
1,0.1,1.3479337416615733
1,0.01,0.768260272229354
2,0.3,0.7901536850018881
2,0.1,0.8058453506392391
2,0.01,0.7710169963294138
3,0.3,0.7409526004820471
3,0.1,0.8146610467331941
3,0.01,0.7630179897700101
4,0.3,0.7436327882489071
4,0.1,0.7537987039311002
4,0.01,0.7468109915328758
5,0.3,0.7423223938918566
5,0.1,0.7494890224079178
5,0.01,0.7378003778221071
6,0.3,0.7406090358332108
6,0.1,0.7381099958600494
6,0.01,0.7336956747566711
7,0.3,0.7304370252366801
7,0.1,0.7378125358068022
7,0.01,0.7342766837315268
8,0.3,0.7330653728933308
8,0.1,0.7348916364704732
8,0.01,0.7294672409863022
9,0.3,0.723943356250276
9,0.1,0.7281914960061129
9,0.01,0.7308877090852043
10,0.3,0.7262597502194231
10,0.1,0.7344752060586235
10,0.01,0.7303258579592535
15,0.3,0.7375009077862926
15,0.1,0.7358942395697914
15,0.01,0.7363385956467333
20,0.3,0.7525694350864436
20,0.1,0.7401481716941642
20,0.01,0.7484295067688136
30,0.3,0.7629939645445034
30,0.1,0.7475920080705444
30,0.01,0.752415952786612
40,0.3,0.7631736078380651
40,0.1,0.750213887945332
40,0.01,0.7523968027939351
50,0.3,0.7631736871403182
50,0.1,0.750213887945332
50,0.01,0.7523968027939351
75,0.3,0.7631736871403182
75,0.1,0.750213887945332
75,0.01,0.7523968027939351
100,0.3,0.7631736871403182
100,0.1,0.750213887945332
100,0.01,0.7523968027939351
