max_depth,eta,valor
1,0.3,3.1604105809560967
1,0.1,1.3748407196087096
1,0.01,0.7683993605187542
2,0.3,0.8830125824609979
2,0.1,1.0849251590129376
2,0.01,0.7755460899135784
3,0.3,0.9070683418945579
3,0.1,0.8233732762880395
3,0.01,0.7653378071221179
4,0.3,0.9086654071587353
4,0.1,0.7874194554341049
4,0.01,0.7692226691760667
5,0.3,0.8117088450163435
5,0.1,0.7697807809795837
5,0.01,0.7733474937143554
6,0.3,0.8143454186236047
6,0.1,0.7864982497566484
6,0.01,0.781753333664268
7,0.3,0.8116572991268204
7,0.1,0.7896267697916501
7,0.01,0.7846727287974676
8,0.3,0.8281578122102732
8,0.1,0.7889302161581806
8,0.01,0.794691882329698
9,0.3,0.8549607186970709
9,0.1,0.7999178126481796
9,0.01,0.8026720293090108
10,0.3,0.8650951035112314
10,0.1,0.822096704046587
10,0.01,0.8068898764730943
15,0.3,0.9255628299653855
15,0.1,0.8703812443110788
15,0.01,0.8436620285422646
20,0.3,0.9472533777133422
20,0.1,0.8976794320905319
20,0.01,0.9143221468688111
30,0.3,0.9807835258595693
30,0.1,0.9311944876270647
30,0.01,0.9359453378062519
40,0.3,1.0033431872349092
40,0.1,0.9670026925887167
40,0.01,0.9343629023838661
50,0.3,1.0082270678802696
50,0.1,0.9353882848104792
50,0.01,0.9250104204306189
75,0.3,1.0073585084774654
75,0.1,0.9353882848104792
75,0.01,0.9216132277291496
100,0.3,1.0073585084774654
100,0.1,0.9353882848104792
100,0.01,0.9216132277291496
