max_depth,eta,valor
1,0.3,3.1621370939692457
1,0.1,1.3500574037701123
1,0.01,0.7629430172690123
2,0.3,0.8267093818307545
2,0.1,1.0331661188195804
2,0.01,0.7705695921013945
3,0.3,0.8604868487883199
3,0.1,0.7974017747370505
3,0.01,0.7551830769112673
4,0.3,0.8475592993699222
4,0.1,0.7694567787272674
4,0.01,0.7572735641303359
5,0.3,0.793153825505815
5,0.1,0.7696151339319471
5,0.01,0.7566905068052524
6,0.3,0.7733748230514043
6,0.1,0.7742284713067209
6,0.01,0.7628839394067396
7,0.3,0.815539441468916
7,0.1,0.7741067285940408
7,0.01,0.7668452369439409
8,0.3,0.8512645771101295
8,0.1,0.7870155100881568
8,0.01,0.7890492849124122
9,0.3,0.8882826420190584
9,0.1,0.7944869344866028
9,0.01,0.7950729542554719
10,0.3,0.8904358055563216
10,0.1,0.8208166544694634
10,0.01,0.8097541297731974
15,0.3,1.0269693526710013
15,0.1,0.9067091401071432
15,0.01,0.9175980046598913
20,0.3,1.0955246263252605
20,0.1,0.9811306028125164
20,0.01,0.9700594219342659
30,0.3,1.1807172311822152
30,0.1,1.0596526509535333
30,0.01,0.9984071552228038
40,0.3,1.1442013238883693
40,0.1,1.0367033480246095
40,0.01,1.030808372062626
50,0.3,1.1428527383126261
50,0.1,1.0350069697725623
50,0.01,1.03196449378396
75,0.3,1.1428527383126261
75,0.1,1.0350069697725623
75,0.01,1.031964119507464
100,0.3,1.1428527383126261
100,0.1,1.0350069697725623
100,0.01,1.031964119507464
