max_depth,eta,valor
1,0.3,3.15962530274924
1,0.1,1.351174613954738
1,0.01,0.7682577740300129
2,0.3,0.8067510343874472
2,0.1,0.8587583946684386
2,0.01,0.7714719189579624
3,0.3,0.7724667093667473
3,0.1,0.7965819462804412
3,0.01,0.7574782922224135
4,0.3,0.7807867740435535
4,0.1,0.7570688483391512
4,0.01,0.741920562748799
5,0.3,0.7741728338094311
5,0.1,0.7472243262832231
5,0.01,0.7383866174686986
6,0.3,0.7725873487382505
6,0.1,0.7395405237446309
6,0.01,0.7381814469395993
7,0.3,0.771224662170108
7,0.1,0.7407341649407425
7,0.01,0.7380908765968742
8,0.3,0.7642514682569568
8,0.1,0.7417166116138544
8,0.01,0.738825546438189
9,0.3,0.7561128473854158
9,0.1,0.7446433162293539
9,0.01,0.7382452255264824
10,0.3,0.7508106660673647
10,0.1,0.7507313705536739
10,0.01,0.7419336903837148
15,0.3,0.7907531483156279
15,0.1,0.7638005575049979
15,0.01,0.7693286358843634
20,0.3,0.8311448690287955
20,0.1,0.799707775773697
20,0.01,0.7999310725727234
30,0.3,0.8930605814222176
30,0.1,0.8577913087868064
30,0.01,0.8466869897901672
40,0.3,0.9086827924595731
40,0.1,0.8723137204417699
40,0.01,0.8731707525773202
50,0.3,0.9166493838487398
50,0.1,0.8735521774669982
50,0.01,0.8747327990552877
75,0.3,0.9176413191131102
75,0.1,0.8722691376382146
75,0.01,0.875464225749153
100,0.3,0.9176413191131102
100,0.1,0.8722691376382146
100,0.01,0.875464225749153
