epoch,batch_size,hours,value
4,4,10,9.254101309230618
4,8,10,0.9937269277264654
4,12,10,1.0987121463257017
4,16,10,8.031073391366048
4,32,10,1.8405649564269932
4,64,10,0.9401937891733811
4,128,10,2.7217472962971083
4,256,10,2.670719481802374
6,4,10,6.495811324425049
6,8,10,0.9226414258484672
6,12,10,1.132923743960481
6,16,10,0.9286381332381131
6,32,10,0.9808036191632601
6,64,10,0.8683438520700291
6,128,10,1.3192998829830558
6,256,10,1.9494884054490216
10,4,10,1.8628810735357821
10,8,10,2.051071347368249
10,12,10,1.5092572951878265
10,16,10,0.8877654395074656
10,32,10,1.1645320529311154
10,64,10,0.8586915119601332
10,128,10,1.1351379712045226
10,256,10,1.696359603359873
14,4,10,1.128315916495132
14,8,10,0.8372050566101245
14,12,10,0.8914930078835657
14,16,10,0.8349559269325953
14,32,10,1.0325192175409237
14,64,10,0.8669359425479561
14,128,10,0.9611345572329995
14,256,10,1.266799564989095
20,4,10,3.188635535977312
20,8,10,3.5695968801838394
20,12,10,1.0237580799717991
20,16,10,0.873279852527593
20,32,10,0.8699475750096166
20,64,10,0.920714832058318
20,128,10,0.9723021548685647
20,256,10,1.2946807835608964
40,4,10,2.516053063074368
40,8,10,0.9164961558455303
40,12,10,1.9211353032407192
40,16,10,0.8583311453389805
40,32,10,0.8100280903911204
40,64,10,1.0836097455452725
40,128,10,0.919908497944359
40,256,10,1.1550585733377765
