epoch,batch_size,hours,value
4,4,18,0.9134505473102883
4,8,18,0.829221644600058
4,12,18,0.8352034860652452
4,16,18,0.815571967149946
4,32,18,0.8607559849312613
4,64,18,0.8243340920084968
4,128,18,0.966551148433729
4,256,18,1.0403364318155013
6,4,18,1.2891498058076996
6,8,18,0.8110911727656566
6,12,18,0.8151869104035989
6,16,18,0.835638989388818
6,32,18,0.8433043567264151
6,64,18,0.8983318367357819
6,128,18,0.8411390486745871
6,256,18,0.8712310012859289
10,4,18,2.064777026712793
10,8,18,0.7514979587795746
10,12,18,1.5165924649376086
10,16,18,0.9599090619464784
10,32,18,0.8544980873229592
10,64,18,0.8167570095132365
10,128,18,0.8042392396244848
10,256,18,0.8808495787897043
14,4,18,2.016368446382762
14,8,18,0.7662879575907213
14,12,18,1.1483760264974427
14,16,18,1.1766348500466353
14,32,18,1.4642813540107558
14,64,18,0.8039641683840375
14,128,18,0.790895897653226
14,256,18,0.8723891303834984
20,4,18,1.9173881401964865
20,8,18,0.8508494302127227
20,12,18,1.357980886928495
20,16,18,1.2461033252363611
20,32,18,1.2951310556816886
20,64,18,0.7454301129310428
20,128,18,0.7637686526334697
20,256,18,0.7915953328416502
40,4,18,1.272461408406652
40,8,18,1.1336156107869915
40,12,18,1.9174494155530482
40,16,18,2.4229433924106725
40,32,18,1.508743003333406
40,64,18,0.7458395257378156
40,128,18,0.7970566584962921
40,256,18,0.7210914982393359
