Vez num:1, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:2, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:3, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:4, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:5, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:6, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:7, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:8, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:9, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:10, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:11, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:12, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:13, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:14, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:15, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:16, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:17, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:18, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:19, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:20, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:21, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:22, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:23, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:24, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:25, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:26, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:27, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:28, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:29, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:30, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:31, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:32, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:33, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:34, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:35, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:36, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:37, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:38, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:39, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:40, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:41, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:42, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:43, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:44, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:45, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:46, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:47, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:48, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:49, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:50, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:51, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:52, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:53, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:54, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:55, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:56, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
Vez num:57, valor1.505599195341162, gen: 10 + 15 - 10 - 13 + 27 
