Vez num:1, valor50.796609168956245, gen: c4.359212255754569 / c4.451610348156252 / p4 + c1.1078293714909786 / c0.5974023239508358 + p0 / c2.449838648207278 - c0.8175206840908056 + p27 + p22 - p8 - c0.45612147677377035 / p29 / c0.14337060716448358 - p17  
Vez num:2, valor50.796609168956245, gen: c4.359212255754569 / c4.451610348156252 / p4 + c1.1078293714909786 / c0.5974023239508358 + p0 / c2.449838648207278 - c0.8175206840908056 + p27 + p22 - p8 - c0.45612147677377035 / p29 / c0.14337060716448358 - p17  
Vez num:3, valor50.796609168956245, gen: c4.359212255754569 / c4.451610348156252 / p4 + c1.1078293714909786 / c0.5974023239508358 + p0 / c2.449838648207278 - c0.8175206840908056 + p27 + p22 - p8 - c0.45612147677377035 / p29 / c0.14337060716448358 - p17  
Vez num:4, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:5, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:6, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:7, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:8, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:9, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:10, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:11, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:12, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:13, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:14, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:15, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:16, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:17, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:18, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:19, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:20, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:21, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:22, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:23, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:24, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:25, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:26, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:27, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:28, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:29, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:30, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:31, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:32, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:33, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:34, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:35, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:36, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:37, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:38, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:39, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:40, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
Vez num:41, valor29.559355746308213, gen: p6 - c2.390719558594292 - p18 + c1.3200450208359253 - c1.9297547451927644 + p5  
