iteracion,valor,gen
6826,4.341088043985777,26 + 30 / 9 / 12 / 25 * 8 * 20
6827,1.9153618779306838,26 + 30 / 9 / 12 / 25 * 20
6828,4.309745206646796,26 + 30 / 9 / 25 * 20
6829,22.910533205687496,29 + 0 + 4 - 28 * 9 / 15 - 16 + 4 / 19 / 26 - 6 / 25 / 2 / 21 - 29 + 12 / 15 + 22 + 3 / 11 / 20
6830,25.19596587479493,12 - 6 / 11 / 15 / 20 / 23 / 6 / 6 + 11 - 27 - 27 / 15 * 19 + 24 + 22 / 32 - 2 + 18 * 26 / 8
6831,89.90712358729876,28 / 28 + 15 / 29 / 2
6832,4.912448632081447,5 / 9 + 14 / 24 / 9 / 20 * 19 / 11 + 33
6833,92.1587753668373,5 / 9 + 14 / 24 / 9 / 20 * 19 / 11 + 33 / 9
6834,7.55066280975928,5 / 9 + 14 / 24 / 9 / 20 * 19 / 11 + 33 / 9 + 2
6835,91.8397305316506,0 + 19 + 10 + 0 - 23 - 12 / 8 - 29
6836,98.97728127019447,15 - 8 - 18 + 31 * 20 / 22 - 34 / 26 / 29 - 23 / 15 + 5 - 17 - 32 + 33 + 33 / 17 / 2 + 6 / 23 - 34 / 14 / 1
6837,5.525165337535562,27 / 11 / 6 + 23 - 27 + 20
6838,11.341799850479328,11 / 6 + 23 - 27 + 20
6839,81.46965224233037,11 / 6 + 23 - 27 + 20 / 21
6840,3.8015663824030246,5 / 14 / 24 / 20 * 19 / 33 + 2 + 17 / 4
6841,2.483153458217674,23 / 7 / 20 * 30 * 15
6842,2.284947458424662,32 / 15 + 1 + 15 - 1 + 14 / 2 * 32 / 14 * 27 / 10 / 9 - 0 / 26 - 0 / 2 + 11 / 32
6843,10.608788886746678,32 / 15 + 1 + 15 - 1 + 14 / 2 * 32 / 14 * 27 / 10 / 9 / 26 - 0 / 2 + 11 / 32
6844,111.00411248853925,32 / 15 + 1 + 15 - 1 / 2 * 32 / 14 * 27 / 10 / 9 / 26 - 0 / 2 + 11 / 32
6845,105.15692762082234,19 + 10 + 0 - 23 / 8 * 24
6846,171.88505296420044,12 + 30 * 10 + 8 + 15 + 16 - 9 - 6 * 31 - 9 - 2 - 21 * 26 / 12 + 10 + 11 / 16 / 9 + 19 + 19 - 5 - 18 * 5 / 15 / 29 + 6 / 33 / 21 + 2 / 3 + 23
6847,11.341354449905408,33 - 27 / 15 + 0 + 21 / 19 - 18 + 10 - 21 * 13 / 5
6848,198.72871028982482,17 + 7 + 11 / 27 / 33 / 27 + 12
6849,189.864673240029,28 + 28 - 5 * 16 + 23 * 33
6850,2.8155194420369525,16 / 26 / 7 * 0 * 16 / 11 * 27
6851,76.88078394425558,8 * 11 + 10 + 21 / 3 - 1 - 31 + 12 - 15 * 10
6852,2.646439583209098,32 + 21 - 6 - 3 + 0
6853,2.646439583209098,32 + 21 - 6 - 3 + 0
6854,2.646439583209098,32 + 21 - 6 - 3 + 0
6855,77.2927901557265,26 + 24 + 28 - 30 * 15 + 7 + 11 * 23 - 27 - 31 / 0 * 33 + 16 + 19 * 10 / 20 / 6 / 4 * 20 - 20 - 2 / 0 - 34 - 3 + 16
6856,3.9922320188800633,32 + 21 - 6 - 3 + 0 * 17 / 11
6857,80.22004638342094,26 + 24 + 28 - 30 * 15 + 7 + 11 * 23 - 27 - 31 / 0 * 33 + 16 + 19 * 10 / 6 / 4 * 20 - 20 - 2 / 0 - 34 - 3 + 16 - 20
6858,10.406178675648318,32 + 21 - 6 - 3 + 0 * 17 / 5 / 22 + 13
6859,13.565774819502533,7 + 11 / 33 / 27 + 13 / 1
6860,88.24869693002643,7 + 11 / 33 / 27 + 13 / 1 - 8
6861,77.56537050445472,26 + 24 + 28 - 30 * 15 + 7 + 11 * 23 - 27 - 31 / 16 * 10 / 6 / 4 * 20 - 20 - 2 / 0 - 34 - 3 + 20
6862,4.822251078003187,32 + 3 + 0 - 1 - 11 / 29 * 9
6863,30.672798845098786,24 - 14 / 34 / 13 * 13 * 9 * 22 / 5 / 12 * 15 + 15 / 31 + 17
6864,12.43358931238882,32 - 1 - 11 / 29 * 9 / 20 + 28
6865,3.2000035794652435,2 / 33 * 8 - 7 + 8 / 3 - 0 / 6 + 30
6866,100.788225221599,2 / 33 * 8 - 7 + 8 / 3 - 0 / 6 + 30 - 26
6867,2.6467419314785414,2 / 33 * 8 / 3 - 0 / 6 + 30 - 26 + 22
6868,7.058683406994319,12 - 21 + 31 / 32 / 27 + 21 * 32 / 15 - 33 + 4 / 19 * 0
6869,3.3033087770389296,15 + 0 / 11 - 10 / 21 * 12 + 25 - 32 / 21
6870,8.601386631460542,15 + 0 / 11 - 10 / 21 * 12 + 25 - 32 / 21 / 7
6871,85.38153028790857,15 + 0 / 11 - 10 / 21 * 12 + 32 / 21 / 7
6872,4.87429753111757,27 * 18 / 17 + 18 * 16 / 30 / 8 / 2
6873,10.336068538543849,12 + 20 - 12 - 13 / 32 + 11 / 14 / 30
6874,90.198258492733,12 + 20 - 12 - 13 / 32 + 11 / 14 / 30 + 15
6875,4.499816438662499,2 / 31 * 3 * 15 / 3
6876,90.25990424810195,12 + 20 - 12 - 13 / 32 + 11 / 14 / 30 + 15 * 13 / 0
6877,11.596089810019638,2 / 3 * 3 - 0 / 7
6878,4.1721047141828995,33 + 29 - 24 + 31 / 8 * 7 - 6
6879,11.596089810019638,2 / 3 * 3 - 0 / 7
6880,1.7541563079522366,33 + 7 - 6 * 27 / 30
6881,3.2051361907919533,6 * 26 / 16 - 32 - 5 + 17 + 12
6882,98.95647250916116,6 * 26 / 16 - 32 - 5 + 17 + 12 + 27
6883,15.269450866257806,12 - 32 / 27 + 21 / 15 - 33 / 19 * 30 / 24 + 9 / 4 * 5 / 12
6884,90.95883742177757,12 - 32 / 27 + 21 / 15 - 19 * 30 / 24 + 9 / 4 * 5 / 12
6885,36.220967783050654,9 / 8 * 23 - 23 + 12 + 10 / 18 + 10 - 12 * 14 / 31
6886,3.9440870127912433,23 - 16 + 3 - 24 + 29
6887,99.99470976574219,30 * 27 / 0 / 1 / 9 / 9
6888,103.86367160541894,27 * 18 / 17 * 8 / 2 + 11 - 13 / 15 * 31 / 5 * 29 - 28 / 34 + 34
6889,3.634982119921515,30 * 27 / 1 * 22 / 28
6890,91.2434709682478,24 / 13 * 7 / 9 - 6 + 8
6891,2.490468853420781,30 * 24 + 8 - 30 * 24
6892,97.50844988648099,24 / 13 / 9 - 6 + 8
6893,4.958325714451054,24 / 13 / 9 - 6 + 8 + 20
6894,97.50844988648099,24 / 13 / 9 - 6 + 8
6895,97.50844988648099,24 / 13 / 9 - 6 + 8
6896,97.55150069826563,25 + 6 / 4 - 29 + 24 - 8
6897,20.095890846931766,5 + 2 + 33 / 3 / 21 / 17 / 5 + 18 / 22 / 24 + 19 - 24 - 34 - 26 + 13 / 18 * 9
6898,74.34667006979116,15 + 20 / 25 - 29 / 20 * 18 / 11 / 9 * 34 / 18 * 1 / 10 / 0 + 7 / 21
6899,74.24141075054045,15 + 20 / 25 - 29 / 20 * 18 / 11 / 9 * 34 / 18 * 1 / 10 / 0 + 7 / 21 / 3
6900,166.48442822997868,15 + 20 / 25 - 29 / 20 * 18 / 11 / 9 * 34 / 18 * 1 / 10 / 0 + 7 / 21 / 3 - 7
6901,130.36474791526473,7 / 13 - 23 * 5 + 8 * 5
6902,232.22632436067644,15 / 13 - 14 / 13 / 8 * 12 / 12
6903,171.77215139569014,15 / 13 - 14 / 13 / 8 * 12 / 12 / 12
6904,206.42992499169478,27 / 17 + 11 - 13 / 15 / 5 * 29 / 34 + 12 + 13 - 2 / 5 + 33 / 11
6905,12.846658554689474,28 + 14 - 33 / 20 + 25 / 15 - 12 / 7 - 28 / 27 / 15 / 23 + 6 / 18 * 28 / 29 / 30 - 9
6906,2.5002566675720352,33 / 3 / 21 / 17 / 5 / 22 / 34 - 26 + 13 / 18 * 21 + 23
6907,20.565251113759558,8 + 28 / 26 * 1 + 26 / 24 / 2 + 29 - 10 + 6 - 19 / 25 * 1 - 15
6908,3.7098598822281588,27 / 11 - 13 / 15 / 5 * 29 / 34 + 12 + 13 - 2 / 5 + 33 / 11 / 3 / 18 - 7
6909,100.83682971765346,27 / 11 - 13 / 15 / 5 * 29 / 34 + 13 - 2 / 5 + 33 / 11 / 3 / 18 - 7
6910,5.390762568976127,15 + 3 - 8 + 8 / 26 / 22
6911,22.950577470913508,8 + 28 / 26 * 26 / 24 / 2 + 29 - 10 + 6 - 19 / 25 * 1 - 15 + 13 - 14 + 4
6912,11.721590976044318,27 / 11 - 13 / 15 / 5 * 29 / 34 + 13 - 2 / 5 + 33 / 11 / 3 / 18 - 7 - 17 / 3 + 18
6913,84.22878249703678,11 - 13 / 15 / 5 * 29 / 34 + 13 - 2 / 5 + 33 / 11 / 3 / 18 - 7 - 17 / 3 + 18
6914,7.172267248375386,15 + 15 / 10 / 21 - 31 / 13
6915,81.21657325403194,11 - 15 / 5 * 29 / 34 + 13 - 2 / 5 + 11 / 3 / 18 - 7 - 17 / 3 + 18
6916,5.159089995786464,15 + 15 / 10 / 21 / 13 * 3
6917,3.6453181061170548,15 + 15 / 21 / 3 / 33
6918,3.6641853563628395,15 + 15 / 21 / 3 / 33 / 8 * 11
6919,147.59604169923406,13 * 2 + 15 / 3 + 28 / 29 / 3 - 17 * 6
6920,8.638729447219855,15 + 15 / 33 * 11 - 29 - 3 + 14
6921,11.230613160064769,30 * 25 / 6 / 20 + 11
6922,11.348524871612982,31 * 10 / 5 / 21 + 11
6923,87.12505825120178,30 / 6 / 20 + 11 / 20
6924,12.770626735307136,31 * 10 / 5 / 21 + 11 * 20 / 32
6925,79.73895808090052,30 + 2 / 13 / 4 * 14 * 3 / 4 + 1 * 22 / 2 - 12 - 17 - 30 + 24 + 23 / 31 + 32 / 26 - 2 + 2 - 4 + 31
6926,11.150169653383982,15 / 11 / 9 / 17 + 27 - 21 / 8
6927,82.30437853709732,30 / 20 + 11 / 9 / 10 * 34
6928,10.72784518781745,15 + 3 / 29 / 32 + 16 / 21
6929,6.777935953539574,10 / 5 / 21 + 11 * 20 / 5 + 3 - 33
6930,3.6586595939983537,15 + 3 / 32 / 21 / 31 / 4 * 29
6931,6.979639193061164,15 + 3 / 32 / 31 / 4 * 29 - 18 / 23
6932,3.9682488933463658,5 + 11 * 20 / 3 - 33
6933,3.8456064255633504,8 + 26 - 17 * 13 / 6
6934,91.28617041879376,8 + 26 - 17 * 13 / 6 / 12
6935,2.073007868931457,8 + 26 - 17 * 6 / 12
6936,6.794826924896434,11 - 23 / 31 * 27 + 10 + 22 + 6 / 32 / 30 - 16 - 9 / 4
6937,106.3148151501179,11 - 23 / 31 * 27 + 10 + 22 + 6 / 32 / 30 - 16 - 9 / 4 - 31
6938,166.70377269115858,5 + 11 / 3 - 33 * 12 / 34
6939,105.73909410492723,30 + 27 * 14 * 20 / 19 / 23 / 20 - 27 * 13 / 13 / 19 + 27
6940,6.039489595033895,30 + 34 - 2 - 19 + 7
6941,2.368773521777175,26 - 17 * 6 / 18 - 18 + 15 + 15
6942,13.407331190651103,30 + 27 * 20 / 19 / 23 / 20 - 27 * 13 / 13 / 27 / 30 - 30 / 1
6943,19.271234964412347,30 * 20 / 19 / 23 / 20 - 27 * 13 / 27 / 30 - 30 / 1 + 1
6944,180.20776372995923,0 / 7 / 6 - 16 - 16 / 19 * 19 / 0 - 30 - 31 + 23 + 13 + 20 + 16 + 15 - 16 - 31 * 16 / 14 - 10 / 4
6945,177.349126501633,0 / 7 / 6 - 16 - 16 / 19 * 19 / 0 - 30 - 31 + 23 + 13 + 20 + 16 + 15 - 16 - 31 * 16 / 14 - 10 / 4 / 23
6946,109.9147508506666,18 - 4 / 34 - 21 - 5 + 1
6947,136.28966308640958,0 / 7 / 6 - 16 - 16 / 19 * 19 / 0 - 30 - 31 + 23 + 13 + 20 + 16 + 16 - 31 * 16 / 14 - 10 / 4 / 23 * 23
6948,110.155146447327,24 * 13 / 13 - 16 * 14 / 10 + 31 - 31
6949,207.16743285831595,0 / 7 / 6 - 16 / 19 * 19 / 0 - 31 + 23 + 13 + 20 + 16 + 16 - 31 * 16 / 14 - 10 / 4 / 23 * 23
6950,99.90417668883534,21 * 5 / 22 / 34 - 22 * 6 * 16 * 12 / 26 / 21 / 30 * 20 / 17 / 9
6951,24.976803626477732,6 - 22 * 24 * 34 / 16 / 29 / 4 - 31 - 34 + 31 / 17 * 15 + 17 / 23 * 4 - 22 + 28
6952,100.16486535619971,21 * 5 / 22 / 34 - 22 * 6 * 12 / 26 / 30 * 20 / 17 / 9 + 13 + 13 * 27 / 7
6953,4.579549551108066,21 * 5 / 22 / 34 - 22 * 6 * 12 / 26 / 30 * 20 / 17 / 9 + 13 + 13 * 27 / 7 - 31 / 19 - 21
6954,87.87361133159,28 * 11 / 23 - 10 - 17 / 18 + 30 + 17 - 20 - 3 * 19 / 17 * 3 / 4 + 17 + 8
6955,10.21543177648826,15 - 2 / 32 - 26 - 16 / 16 * 1 + 13 + 26 - 7 + 26 - 8 + 3
6956,13.471206968661834,9 / 34 - 27 - 23 + 0 + 27 / 2 * 8 / 27 * 16 + 28
6957,194.91739314995013,15 - 8 * 29 + 2 * 5 / 20 + 1 - 30 / 25 + 17 * 14 - 21 + 22 / 6 * 3 - 11 / 25 / 31 / 32 * 3 * 12 / 25
6958,54.510529156377885,21 * 22 / 6 * 12 / 26 * 20 / 17 / 9 + 13 * 7 - 21 / 25 / 25 + 2 - 10 * 13
6959,3.2639950753168687,33 + 33 * 10 * 31 / 26 / 13 / 9
6960,11.896111435248699,31 * 18 / 27 + 18 * 12 / 12 / 1 * 5 * 18 / 5 / 1
6961,5.845930079703775,31 * 18 / 27 + 18 * 12 / 12 / 1 * 5 / 5 / 1
6962,3.722909041245346,31 * 18 / 27 / 12 / 1 * 5 / 5 / 1 + 12
6963,13.322654628585182,31 * 27 / 12 / 1 * 5 / 5 / 1 + 12 + 23 / 21
6964,94.93711465454845,11 - 1 / 12 / 4 - 21 / 33 + 26 + 33 / 9
6965,9.531735778187738,11 / 12 / 4 - 21 / 33 + 26 + 33 / 9
6966,9.319089871012673,11 / 12 / 4 - 21 / 33 + 26 + 33 / 9 / 13
6967,9.48080739264589,11 / 12 / 4 - 21 / 33 + 26 + 33 / 9 / 13 / 21 / 4 / 4
6968,100.06345539017929,11 / 12 / 4 / 33 + 26 + 33 / 13 / 21 / 4 / 4 + 17
6969,109.84119919208872,0 / 5 / 20 * 10 * 20 + 8 + 12 / 5
6970,101.03829486581158,30 + 1 + 22 + 16 - 3 - 5
6971,3.820052433141078,30 + 22 + 16 - 3 - 5
