Vez num:1, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:2, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:3, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:4, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:5, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:6, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:7, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:8, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:9, valor90.08544591020681, gen: 26 / 5 / 13 * 22 
Vez num:10, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:11, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:12, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:13, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:14, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:15, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:16, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:17, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:18, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:19, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:20, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:21, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:22, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:23, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:24, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:25, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:26, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:27, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:28, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:29, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:30, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:31, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:32, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:33, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:34, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:35, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:36, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:37, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:38, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:39, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:40, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:41, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:42, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:43, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:44, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
Vez num:45, valor10.732985656713879, gen: 26 / 5 / 13 * 22 + 3 
