max_depth,eta,valor
1,0.3,3.1610317329848705
1,0.1,1.3500284927742752
1,0.01,0.7689792426008096
1,0.001,0.7643778007480104
2,0.3,0.8631581135896897
2,0.1,1.0005462611735718
2,0.01,0.7752470678755741
2,0.001,0.7725312491926329
3,0.3,0.7918299935822444
3,0.1,0.8205307761760696
3,0.01,0.761494784890331
3,0.001,0.7602889530932515
4,0.3,0.9051701958885429
4,0.1,0.7757389766069346
4,0.01,0.7607101997763007
4,0.001,0.760845452353934
5,0.3,0.8022604699594992
5,0.1,0.7762686140670599
5,0.01,0.7601466022693656
5,0.001,0.7597285692858078
6,0.3,0.7929570188710785
6,0.1,0.7864840843989782
6,0.01,0.7796563728229225
6,0.001,0.7781736306675856
7,0.3,0.8149055717610862
7,0.1,0.8097325942787529
7,0.01,0.7870742716674283
7,0.001,0.7949989665790292
8,0.3,0.8196763526533846
8,0.1,0.7956950872138524
8,0.01,0.8039524870449061
8,0.001,0.8091998833407941
9,0.3,0.8258833775004675
9,0.1,0.8230677624851027
9,0.01,0.8296063270185391
9,0.001,0.8326674797902827
10,0.3,0.8790958775303198
10,0.1,0.8310038427703568
10,0.01,0.8399979713287675
10,0.001,0.8364699619580425
11,0.3,0.8824677456895934
11,0.1,0.8819295775187355
11,0.01,0.8635043404258238
11,0.001,0.8772344774348718
12,0.3,0.9245179932254233
12,0.1,0.8711217821283936
12,0.01,0.9079150594436021
12,0.001,0.8924490135651069
13,0.3,0.9233053077506015
13,0.1,0.9074584607429467
13,0.01,0.9374568389832071
13,0.001,0.9500160471418251
14,0.3,0.9491761419694007
14,0.1,0.9030572065150662
14,0.01,0.9426099442357352
14,0.001,0.9562734210802374
15,0.3,0.8992541130328461
15,0.1,0.9580474973570872
15,0.01,0.9762345957267295
15,0.001,0.9604459298053409
16,0.3,1.034368954643112
16,0.1,0.9825746871157672
16,0.01,0.9913457719188072
16,0.001,1.030894610178344
17,0.3,1.11298958114041
17,0.1,0.9655845916966842
17,0.01,1.017372038318309
17,0.001,1.0104265873092944
18,0.3,1.060454710825669
18,0.1,0.9997584031541675
18,0.01,1.0026044006531676
18,0.001,1.0693656338418207
19,0.3,1.0691332397403797
19,0.1,1.0321977144523689
19,0.01,1.0488329469647424
19,0.001,1.0614206997251887
20,0.3,1.1032764029942883
20,0.1,0.9928498543941434
20,0.01,1.0828691626994762
20,0.001,1.0544969011200913
21,0.3,1.1440098843013642
21,0.1,1.051195080582191
21,0.01,1.047781365831498
21,0.001,1.0852814576378256
22,0.3,1.1452627303176697
22,0.1,1.0432815944591556
22,0.01,1.067763612517616
22,0.001,1.0713005185044677
23,0.3,1.134509758570935
23,0.1,1.057544938213678
23,0.01,1.0682090256735939
