max_depth,eta,valor
10,0.3,0.7548429065376574
10,0.1,0.7367474034020173
10,0.01,0.736021637914514
11,0.3,0.7621099710124466
11,0.1,0.7363809203859292
11,0.01,0.735978212478062
12,0.3,0.7603595607756904
12,0.1,0.7443158397436972
12,0.01,0.7395707084550612
13,0.3,0.7766591195322297
13,0.1,0.7435007696784237
13,0.01,0.7481982055916315
14,0.3,0.7736750839640658
14,0.1,0.7497345156613783
14,0.01,0.7558447406318431
15,0.3,0.791686950852788
15,0.1,0.7599790359333303
15,0.01,0.7529525931196676
16,0.3,0.7905161887002364
16,0.1,0.7638894365618266
16,0.01,0.7666695275684252
17,0.3,0.7983009224919226
17,0.1,0.7708683712712148
17,0.01,0.7723406090212526
18,0.3,0.8042230852475457
18,0.1,0.7824489867871429
18,0.01,0.7860986722912988
19,0.3,0.8015757396839919
19,0.1,0.7836518851729066
19,0.01,0.786583662778111
20,0.3,0.8120307769697978
20,0.1,0.7850715960656977
20,0.01,0.7853602591780539
21,0.3,0.8270664695313195
21,0.1,0.7978632381409265
21,0.01,0.7954778376527109
22,0.3,0.8331437888077673
22,0.1,0.8032677546945495
22,0.01,0.7999345464191
23,0.3,0.845788509128136
23,0.1,0.7982232322111119
23,0.01,0.8072777432017685
24,0.3,0.8529159531204441
24,0.1,0.8074961627598357
24,0.01,0.8190589518737101
25,0.3,0.8560694134762705
25,0.1,0.8259972599402433
25,0.01,0.8311871894302433
26,0.3,0.8492376397944936
26,0.1,0.8244747526071381
26,0.01,0.8352054332677353
27,0.3,0.8774704148126309
27,0.1,0.8335695962906416
27,0.01,0.8438061109564003
28,0.3,0.8833597741954875
28,0.1,0.834668166707506
28,0.01,0.8413242984711025
29,0.3,0.884519225715134
29,0.1,0.834193415140847
29,0.01,0.8466821085088724
30,0.3,0.8877008485741229
30,0.1,0.8400051756579076
30,0.01,0.847695251696904
31,0.3,0.8850465227623283
31,0.1,0.8418743563095654
31,0.01,0.849695695871548
32,0.3,0.8857515391017905
32,0.1,0.8456320750475057
32,0.01,0.8500803742473324
33,0.3,0.8924814632491267
33,0.1,0.8431004913673789
33,0.01,0.8499623116502992
34,0.3,0.8955907339434634
34,0.1,0.8442659105879259
34,0.01,0.8542768352818173
35,0.3,0.8990019425833289
35,0.1,0.8452666289861119
35,0.01,0.8524465043325826
36,0.3,0.901683635133973
36,0.1,0.8437541673364262
36,0.01,0.8541391598083906
37,0.3,0.8982500714033023
37,0.1,0.8438772958792116
37,0.01,0.8536147122080454
38,0.3,0.897299538008541
38,0.1,0.8449291192203575
38,0.01,0.8580951172881778
39,0.3,0.8992020913714072
39,0.1,0.8456936491852172
39,0.01,0.8559515271392888
40,0.3,0.8989492296886021
40,0.1,0.8479379535558215
40,0.01,0.8566840944326835
41,0.3,0.9012792628506304
41,0.1,0.8472064634117482
41,0.01,0.8565629582732085
42,0.3,0.90141898818209
42,0.1,0.8480312909451606
42,0.01,0.8565722836578983
43,0.3,0.9014016821542542
43,0.1,0.847636006057886
43,0.01,0.856808400316154
44,0.3,0.9025914454521426
44,0.1,0.8472306512726346
44,0.01,0.8562864851233263
45,0.3,0.9017353310400043
45,0.1,0.8476666636711347
45,0.01,0.8566252564122326
46,0.3,0.9025286929198684
46,0.1,0.8476666636711347
46,0.01,0.8559608971104034
47,0.3,0.9026967348117346
47,0.1,0.8476666636711347
47,0.01,0.8562286927675427
48,0.3,0.9031563879823712
48,0.1,0.8476666636711347
48,0.01,0.8562466414905809
49,0.3,0.903633844940194
49,0.1,0.8476666636711347
49,0.01,0.85632533454428
50,0.3,0.9037017428636335
50,0.1,0.8476666636711347
50,0.01,0.8563668148551665
51,0.3,0.903855555130419
51,0.1,0.8476666636711347
51,0.01,0.8563562970966547
52,0.3,0.9027279120208852
52,0.1,0.8476666636711347
52,0.01,0.8563562970966547
53,0.3,0.9027279120208852
53,0.1,0.8476666636711347
53,0.01,0.8563556608150259
54,0.3,0.9027279120208852
54,0.1,0.8476666636711347
54,0.01,0.8563550134533695
55,0.3,0.9027279120208852
55,0.1,0.8476666636711347
55,0.01,0.8563550134533695
56,0.3,0.9027279120208852
56,0.1,0.8476666636711347
56,0.01,0.8563550134533695
57,0.3,0.9027279120208852
57,0.1,0.8476666636711347
57,0.01,0.8563543728018118
58,0.3,0.9027279120208852
58,0.1,0.8476666636711347
58,0.01,0.8563543728018118
59,0.3,0.9027279120208852
59,0.1,0.8476666636711347
59,0.01,0.8563543728018118
60,0.3,0.9027279120208852
60,0.1,0.8476666636711347
60,0.01,0.8563543728018118
61,0.3,0.9027279120208852
61,0.1,0.8476666636711347
61,0.01,0.8563543728018118
62,0.3,0.9027279120208852
62,0.1,0.8476666636711347
62,0.01,0.8563543728018118
63,0.3,0.9027279120208852
63,0.1,0.8476666636711347
63,0.01,0.8563543728018118
64,0.3,0.9027279120208852
64,0.1,0.8476666636711347
64,0.01,0.8563543728018118
65,0.3,0.9027279120208852
65,0.1,0.8476666636711347
65,0.01,0.8563543728018118
66,0.3,0.9027279120208852
66,0.1,0.8476666636711347
66,0.01,0.8563543728018118
67,0.3,0.9027279120208852
67,0.1,0.8476666636711347
67,0.01,0.8563543728018118
68,0.3,0.9027279120208852
68,0.1,0.8476666636711347
68,0.01,0.8563543728018118
69,0.3,0.9027279120208852
69,0.1,0.8476666636711347
69,0.01,0.8563543728018118
70,0.3,0.9027279120208852
70,0.1,0.8476666636711347
70,0.01,0.8563543728018118
71,0.3,0.9027279120208852
71,0.1,0.8476666636711347
71,0.01,0.8563543728018118
72,0.3,0.9027279120208852
72,0.1,0.8476666636711347
72,0.01,0.8563543728018118
73,0.3,0.9027279120208852
73,0.1,0.8476666636711347
73,0.01,0.8563543728018118
74,0.3,0.9027279120208852
74,0.1,0.8476666636711347
74,0.01,0.8563543728018118
75,0.3,0.9027279120208852
75,0.1,0.8476666636711347
75,0.01,0.8563543728018118
76,0.3,0.9027279120208852
76,0.1,0.8476666636711347
76,0.01,0.8563543728018118
77,0.3,0.9027279120208852
77,0.1,0.8476666636711347
77,0.01,0.8563543728018118
78,0.3,0.9027279120208852
78,0.1,0.8476666636711347
78,0.01,0.8563543728018118
79,0.3,0.9027279120208852
79,0.1,0.8476666636711347
79,0.01,0.8563543728018118
80,0.3,0.9027279120208852
80,0.1,0.8476666636711347
80,0.01,0.8563543728018118
81,0.3,0.9027279120208852
81,0.1,0.8476666636711347
81,0.01,0.8563543728018118
82,0.3,0.9027279120208852
82,0.1,0.8476666636711347
82,0.01,0.8563543728018118
83,0.3,0.9027279120208852
83,0.1,0.8476666636711347
83,0.01,0.8563543728018118
84,0.3,0.9027279120208852
84,0.1,0.8476666636711347
84,0.01,0.8563543728018118
85,0.3,0.9027279120208852
85,0.1,0.8476666636711347
85,0.01,0.8563543728018118
86,0.3,0.9027279120208852
86,0.1,0.8476666636711347
86,0.01,0.8563543728018118
87,0.3,0.9027279120208852
87,0.1,0.8476666636711347
87,0.01,0.8563543728018118
88,0.3,0.9027279120208852
88,0.1,0.8476666636711347
88,0.01,0.8563543728018118
89,0.3,0.9027279120208852
89,0.1,0.8476666636711347
89,0.01,0.8563543728018118
90,0.3,0.9027279120208852
90,0.1,0.8476666636711347
90,0.01,0.8563543728018118
91,0.3,0.9027279120208852
91,0.1,0.8476666636711347
91,0.01,0.8563543728018118
92,0.3,0.9027279120208852
92,0.1,0.8476666636711347
92,0.01,0.8563543728018118
93,0.3,0.9027279120208852
93,0.1,0.8476666636711347
93,0.01,0.8563543728018118
94,0.3,0.9027279120208852
94,0.1,0.8476666636711347
94,0.01,0.8563543728018118
95,0.3,0.9027279120208852
95,0.1,0.8476666636711347
95,0.01,0.8563543728018118
96,0.3,0.9027279120208852
96,0.1,0.8476666636711347
96,0.01,0.8563543728018118
97,0.3,0.9027279120208852
97,0.1,0.8476666636711347
97,0.01,0.8563543728018118
98,0.3,0.9027279120208852
98,0.1,0.8476666636711347
98,0.01,0.8563543728018118
99,0.3,0.9027279120208852
99,0.1,0.8476666636711347
99,0.01,0.8563543728018118
100,0.3,0.9027279120208852
100,0.1,0.8476666636711347
100,0.01,0.8563543728018118
101,0.3,0.9027279120208852
101,0.1,0.8476666636711347
101,0.01,0.8563543728018118
102,0.3,0.9027279120208852
102,0.1,0.8476666636711347
102,0.01,0.8563543728018118
103,0.3,0.9027279120208852
103,0.1,0.8476666636711347
103,0.01,0.8563543728018118
104,0.3,0.9027279120208852
104,0.1,0.8476666636711347
104,0.01,0.8563543728018118
105,0.3,0.9027279120208852
105,0.1,0.8476666636711347
105,0.01,0.8563543728018118
106,0.3,0.9027279120208852
106,0.1,0.8476666636711347
106,0.01,0.8563543728018118
107,0.3,0.9027279120208852
107,0.1,0.8476666636711347
107,0.01,0.8563543728018118
108,0.3,0.9027279120208852
108,0.1,0.8476666636711347
108,0.01,0.8563543728018118
