"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.09.2024","143,724","144,687","148,985","142,203","4,57M","-0,70%"
"22.09.2024","144,732","149,419","149,870","141,285","3,05M","-3,13%"
"21.09.2024","149,414","146,699","149,797","144,669","2,70M","1,85%"
"20.09.2024","146,699","142,872","152,125","141,234","5,96M","2,68%"
"19.09.2024","142,874","134,327","143,908","134,327","6,04M","6,36%"
"18.09.2024","134,327","131,540","134,327","127,196","4,70M","2,12%"
"17.09.2024","131,540","131,405","135,500","130,359","3,43M","0,10%"
"16.09.2024","131,405","131,419","132,310","129,068","3,14M","-0,02%"
"15.09.2024","131,425","137,157","137,916","130,801","2,76M","-4,18%"
"14.09.2024","137,158","139,069","139,755","135,730","2,14M","-1,37%"
"13.09.2024","139,069","136,038","139,744","131,812","3,85M","2,23%"
"12.09.2024","136,038","132,404","136,659","132,394","3,47M","2,75%"
"11.09.2024","132,404","135,619","135,875","128,347","4,31M","-2,36%"
"10.09.2024","135,604","135,050","137,863","132,573","3,38M","0,41%"
"09.09.2024","135,048","130,127","136,853","127,102","5,01M","3,81%"
"08.09.2024","130,092","127,729","131,538","126,654","2,83M","1,85%"
"07.09.2024","127,733","125,042","129,334","124,227","2,93M","2,16%"
"06.09.2024","125,031","129,462","134,215","120,927","7,68M","-3,42%"
"05.09.2024","129,462","133,652","135,300","127,960","3,91M","-3,13%"
"04.09.2024","133,652","127,505","134,826","122,836","5,71M","4,86%"
"03.09.2024","127,457","134,949","137,234","127,314","3,82M","-5,55%"
"02.09.2024","134,948","128,565","135,377","127,149","4,44M","4,96%"
"01.09.2024","128,572","135,342","136,031","127,870","4,27M","-5,00%"
"31.08.2024","135,342","137,980","139,183","134,545","1,92M","-1,91%"
"30.08.2024","137,975","140,025","141,067","132,328","5,44M","-1,46%"
"29.08.2024","140,025","143,928","147,310","138,186","4,10M","-2,71%"
"28.08.2024","143,928","146,923","148,709","140,658","5,65M","-2,04%"
"27.08.2024","146,921","157,137","159,544","145,275","5,10M","-6,50%"
"26.08.2024","157,136","159,057","161,878","155,594","4,46M","-1,22%"
"25.08.2024","159,083","160,667","161,951","155,331","3,56M","-0,99%"
"24.08.2024","160,667","153,150","162,146","152,014","5,21M","4,91%"
"23.08.2024","153,150","143,214","153,757","142,743","5,26M","6,95%"
